ID,SEASON,TRIAL,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,FOOD_x,FOOD_y,cmxpixel,unique_trial_ID
20201031-1,spring,T5,54.272407,71.040958,108.544814,14.604867,164.620291,69.237888,110.347884,125.133058,132.345338,23.800524,0.180307,spring_20201031-1_T5
20201031-1,spring,T6,55.534556,71.401572,109.626656,14.063946,166.062747,68.51666,110.528191,124.952751,134.328715,25.603594,0.180307,spring_20201031-1_T6
20201031-1,spring,T7,54.452714,70.500037,109.626656,13.523025,164.980905,68.336353,110.347884,124.231523,131.984724,23.43991,0.180307,spring_20201031-1_T7
20201031-1,spring,T8,54.452714,70.31973,108.725121,13.883639,164.980905,69.057581,110.528191,124.41183,133.066566,25.423287,0.180307,spring_20201031-1_T8
20201031-1,spring,T9,53.911793,70.31973,108.725121,13.883639,164.800598,68.336353,110.528191,124.41183,130.722575,24.341445,0.180307,spring_20201031-1_T9
20201031-1,spring,T10,54.993635,71.401572,110.347884,14.244253,164.439984,68.877274,110.347884,124.952751,132.886259,24.161138,0.180307,spring_20201031-1_T10
20201101-1,spring,T1,53.731486,71.762186,109.626656,13.883639,164.259677,68.696967,109.98727,124.592137,131.443803,22.358068,0.180307,spring_20201101-1_T1
20201101-1,spring,T2,54.633021,70.860651,109.446349,13.703332,165.161212,68.696967,110.167577,124.41183,133.246873,21.63684,0.180307,spring_20201101-1_T2
20201101-1,spring,T3,53.190565,71.221265,108.544814,14.42456,164.259677,69.778809,110.347884,124.592137,130.361961,22.718682,0.180307,spring_20201101-1_T3
20201101-1,spring,T4,53.551179,70.860651,108.905428,13.883639,164.620291,67.975739,110.347884,124.41183,130.542268,22.177761,0.180307,spring_20201101-1_T4
20201101-1,spring,T5,53.010258,70.860651,108.003893,14.965481,164.259677,69.418195,110.528191,124.952751,130.001347,23.620217,0.180307,spring_20201101-1_T5
20201101-1,spring,T6,54.813328,71.581879,108.905428,14.244253,165.161212,68.51666,110.528191,124.772444,131.984724,24.341445,0.180307,spring_20201101-1_T6
20201101-1,spring,T7,54.813328,70.500037,109.626656,13.883639,165.161212,68.156046,110.347884,124.41183,133.787794,23.800524,0.180307,spring_20201101-1_T7
20201101-1,spring,T8,53.551179,71.221265,109.085735,14.965481,164.07937,69.237888,110.528191,125.313365,131.62411,23.43991,0.180307,spring_20201101-1_T8
20201101-1,spring,T9,54.272407,71.040958,109.085735,14.063946,164.800598,67.975739,110.347884,124.41183,131.62411,21.63684,0.180307,spring_20201101-1_T9
20201101-1,spring,T10,55.354249,71.581879,109.446349,13.883639,165.702133,69.237888,110.528191,124.772444,134.148408,21.456533,0.180307,spring_20201101-1_T10
20201101-3,spring,T1,53.370872,71.581879,107.643279,14.063946,164.259677,68.696967,110.528191,124.952751,132.705952,20.735305,0.180307,spring_20201101-3_T1
20201101-3,spring,T2,54.272407,71.221265,109.626656,14.785174,164.800598,68.696967,110.528191,125.313365,133.787794,21.817147,0.180307,spring_20201101-3_T2
20201101-3,spring,T3,53.551179,71.581879,108.1842,14.244253,164.259677,69.418195,110.528191,124.952751,133.246873,21.63684,0.180307,spring_20201101-3_T3
